C2_L_cmH2O,R2_cmH2O_s_L,MPtot_min,MPtot_max,EF1_min,EF1_max,EII_min,EII_max,EII_range,EF1_range,preference_reversal_across_loading_inputs
0.02,4.0,2.5622183284318725,55.078519574035425,0.6576875629820929,0.767181559534585,0.31537512596418554,0.5343631190691697,0.21898799310498412,0.10949399655249215,False
0.02,5.0,2.563286340437424,55.58730016202948,0.6574135326476407,0.7434161024714129,0.3148270652952812,0.4868322049428257,0.1720051396475445,0.08600256982377219,False
0.02,6.0,2.5638544036291204,56.02244215280736,0.6572678721026847,0.7244192253640748,0.3145357442053694,0.44883845072814943,0.13430270652278004,0.0671513532613901,False
0.02,7.0,2.5639030150927784,56.38508039632406,0.6572554103390805,0.7093560297545678,0.31451082067816083,0.41871205950913554,0.10420123883097471,0.05210061941548727,False
0.02,8.0,2.5633035295593873,56.67714483473176,0.6574091241329001,0.6975206310664125,0.3148182482658001,0.3950412621328247,0.08022301386702457,0.0401115069335124,False
0.02,9.0,2.5619169698459983,56.90190873018448,0.6577649268452703,0.6883249199960491,0.3155298536905405,0.376649839992098,0.061119986301557516,0.03055999315077873,False
0.02,10.0,2.5596435935822903,57.06393888866451,0.6578471468050879,0.6812847866045527,0.3156942936101757,0.36256957320910543,0.04687527959892973,0.023437639799464782,False
0.02,11.0,2.5564380447575976,57.168731578645634,0.6576652331130416,0.6760050192396951,0.3153304662260829,0.3520100384793902,0.03667957225330731,0.018339786126653546,False
0.02,12.0,2.552305420604301,57.22227020410213,0.6583817599249352,0.6721644920220343,0.3167635198498703,0.3443289840440686,0.027565464194198308,0.013782732097099126,False
0.02,13.0,2.547289649000653,57.230637103964185,0.659782144471776,0.6695027422230393,0.31956428894355166,0.33900548444607853,0.019441195502526876,0.009720597751263327,False
0.02,14.0,2.541460662468948,57.199726869078404,0.6617061613511507,0.6678084316585349,0.32341232270230114,0.3356168633170697,0.012204540614768555,0.006102270307384194,False
0.02,15.0,2.5349032819398345,57.1350613789353,0.6640322011177306,0.6669103946555668,0.3280644022354613,0.33382078931113324,0.005756387075671943,0.002878193537836138,False
0.02,16.0,2.5277086923816143,57.04168771305132,0.6666666666666665,0.666666666666667,0.33333333333333326,0.3333333333333335,2.220446049250313e-16,4.440892098500626e-16,False
0.025,4.0,2.782823143483175,59.977177250361656,0.6055502061640796,0.6986035002416336,0.2111004123281594,0.3972070004832672,0.18610658815510778,0.09305329407755403,False
0.025,5.0,2.7836144343588294,60.642857006016094,0.6053780679731819,0.673240423170924,0.21075613594636394,0.34648084634184806,0.13572471039548412,0.06786235519774209,False
0.025,6.0,2.7833321140015013,61.16775567266866,0.6054394729889935,0.6544904507379244,0.21087894597798695,0.3089809014758488,0.09810195549786183,0.04905097774893097,False
0.025,7.0,2.781644912987039,61.55779792849272,0.6058067010590656,0.6408067641004733,0.21161340211813148,0.28161352820094643,0.07000012608281495,0.03500006304140768,False
0.025,8.0,2.7782697099142624,61.82297565865542,0.60601012359208,0.6310069110289083,0.21202024718415968,0.2620138220578163,0.04999357487365663,0.024996787436828316,False
0.025,9.0,2.7730785284689214,61.97640556855078,0.6059279037127104,0.6241930707207832,0.2118558074254207,0.24838614144156643,0.03653033401614572,0.01826516700807279,False
0.025,10.0,2.7660952488072916,62.03270789748868,0.6072413616913952,0.6196850179452881,0.2144827233827905,0.23937003589057612,0.024887312507785614,0.012443656253892876,False
0.025,11.0,2.75745231076076,62.00658592744175,0.6095516852431597,0.6169664276037794,0.2191033704863193,0.23393285520755847,0.014829484721239156,0.007414742360619675,False
